carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,-632
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,-424
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6294
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,10
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,679
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4601
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,-155
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1814
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1179
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1307
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1963
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1793
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,211
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4723
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2734
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2479
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,-730
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2362
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3573
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4555
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2262
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9745
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9776
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1430
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5481
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,18371
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,6948
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1462
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2609
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5958
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5890
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5596
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3207
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5345
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10012
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1433
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,-448
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,-569
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,-49
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3426
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,898
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5492
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1899
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,4849
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1885
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,565
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,609
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7647
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,185
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,469
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9790
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5020
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,601
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,2281
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6367
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,5327
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3601
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3482
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,243
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5351
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3907
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1533
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,338
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1878
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5160
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5263
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5292
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,4011
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4310
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,192
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8297
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1323
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5599
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7122
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1596
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1470
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2889
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4080
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4348
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3804
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5023
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3495
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,540
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,674
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11882
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6113
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1812
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,72
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,10991
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,14401
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,87
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1233
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6831
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,722
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1797
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3994
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1242
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1423
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,6197
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9465
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2184
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1258
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2285
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4976
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1299
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4579
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5835
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6634
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,14463
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,10384
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13658
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,797
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2648
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4235
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,15703
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,876
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2956
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5917
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1463
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,10442
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,644
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9932
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6352
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,10363
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3744
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,434
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,14672
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,220
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,2325
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4689
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,5952
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6356
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1704
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1243
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4993
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4456
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3447
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,812
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2583
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3932
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5424
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2875
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6368
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2876
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6187
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3955
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,5404
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,15030
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1680
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3210
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4026
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,12670
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2927
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3645
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,409
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,50
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,407
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7276
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11655
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5233
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1129
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3135
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6046
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2770
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1609
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1265
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2116
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6960
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8727
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5812
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,389
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1084
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1361
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3013
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2181
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,505
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5291
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1219
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11404
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,961
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3885
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,648
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4823
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,190
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4656
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7412
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4425
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5904
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3678
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2307
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3326
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,278
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2887
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6690
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9691
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8054
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2672
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,734
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,2028
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,2400
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,470
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1207
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2946
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9881
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7950
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5766
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,2025
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,2109
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,2178
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,722
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6421
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1839
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1334
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1361
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,498
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,12080
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7330
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6147
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10511
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,506
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,18708
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5317
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,858
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15234
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2460
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,3589
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10061
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,2108
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,10360
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,1415
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,6061
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1023
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,3886
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9249
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5757
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,18757
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3043
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5003
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,-434
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,5782
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,16204
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,1626
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9293
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1933
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,11272
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,13019
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,793
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2088
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,2108
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,7870
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,8618
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,550
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3618
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,-4217
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,2040
2.17,Premium,H,SI1,59.9,61.0,8.39,8.38,5.02,16311
1.37,Ideal,H,VS1,63.8,56.0,7.01,6.98,4.46,8967
0.3,Very Good,F,VVS1,61.0,57.0,4.33,4.36,2.65,1411
1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,5954
0.32,Ideal,E,VVS1,60.9,57.0,4.42,4.45,2.7,2059
0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71,-134
0.2,Premium,D,VS2,61.7,60.0,3.77,3.72,2.31,264
0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,2507
0.53,Ideal,E,VS1,61.5,57.0,5.22,5.25,3.22,2527
0.71,Ideal,I,VVS1,62.4,55.0,5.69,5.76,3.57,3569
1.16,Ideal,G,VVS1,61.9,55.0,6.75,6.78,4.19,8302
1.01,Premium,E,SI1,59.2,60.0,6.56,6.51,3.87,5857
0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,1313
1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56,9394
1.04,Very Good,I,SI2,61.6,58.0,6.47,6.58,4.02,4015
0.37,Ideal,I,SI1,60.7,60.0,4.6,4.62,2.8,-767
0.37,Premium,F,VS2,60.5,59.0,4.62,4.67,2.81,583
0.64,Good,H,VS1,61.8,60.3,5.47,5.53,3.4,2198
2.01,Very Good,I,SI1,60.8,60.0,8.12,8.15,4.95,14124
1.29,Ideal,G,VS2,62.5,57.0,6.89,6.92,4.35,8099
1.01,Very Good,G,VVS2,63.4,55.0,6.41,6.34,4.04,6168
2.01,Premium,H,SI1,62.7,59.0,8.08,8.03,5.05,14335
0.51,Very Good,J,SI1,63.3,56.0,5.12,5.02,3.21,-471
0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,1765
1.01,Very Good,G,VS2,63.0,56.0,6.35,6.41,4.02,5263
0.31,Premium,E,VVS1,62.0,59.0,4.34,4.3,2.68,1890
0.36,Ideal,G,VVS1,60.0,56.0,4.66,4.69,2.81,1645
0.31,Premium,H,VS1,61.4,61.0,4.36,4.33,2.67,-26
0.77,Premium,G,VVS2,60.8,59.0,5.96,5.92,3.61,4296
1.5,Premium,H,SI1,61.0,60.0,7.33,7.27,4.45,9503
0.45,Very Good,E,SI2,63.2,54.0,4.94,4.82,3.09,241
0.57,Ideal,F,SI2,62.2,53.0,5.34,5.4,3.34,1003
1.01,Good,I,SI2,61.8,62.0,6.28,6.35,3.9,3818
0.71,Fair,G,SI2,65.6,61.0,5.46,5.37,3.55,1537
0.72,Ideal,H,SI2,61.8,55.0,5.79,5.76,3.57,1652
0.55,Ideal,H,IF,61.9,56.0,5.26,5.34,3.26,3112
1.01,Good,F,SI1,63.5,59.0,6.3,6.39,4.03,5007
0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7,31
0.94,Premium,E,SI2,62.4,58.0,6.33,6.26,3.93,4421
1.13,Ideal,F,VS1,60.9,57.0,6.73,6.76,4.11,7495
0.6,Good,E,VS1,58.1,63.0,5.53,5.63,3.24,3046
1.01,Ideal,D,SI1,61.2,57.0,6.44,6.47,3.95,6111
0.52,Very Good,I,VVS2,61.9,56.0,5.16,5.18,3.2,1420
0.3,Ideal,H,IF,62.2,54.0,4.34,4.37,2.71,1282
0.42,Premium,G,SI1,61.7,58.0,4.8,4.76,2.95,83
0.33,Ideal,G,IF,61.7,55.0,4.45,4.47,2.75,1886
0.33,Premium,H,IF,61.7,59.0,4.45,4.43,2.74,1486
